Unnamed: 0.1,Unnamed: 0,암호화요양기호,요양기관명,기타인력코드,기타인력코드명,기타인력수
0,2091,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjODEjJDEjJDIjJDgz,의료법인제영의료재단 다나사요양병원,71,약사,1
1,2092,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjODEjJDEjJDIjJDgz,의료법인제영의료재단 다나사요양병원,100,물리치료사,2
2,2093,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjODEjJDEjJDIjJDgz,의료법인제영의료재단 다나사요양병원,200,사회복지사,1
3,2094,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,의료법인호산나의료재단현대요양병원,71,약사,1
4,2095,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,의료법인호산나의료재단현대요양병원,100,물리치료사,1
5,2096,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,의료법인호산나의료재단현대요양병원,200,사회복지사,1
6,2097,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,으뜸요양병원,100,물리치료사,2
7,2098,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,으뜸요양병원,200,사회복지사,1
8,2099,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDIjJDgz,의료법인동일의료재단수영나라요양병원,71,약사,1
9,2100,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDIjJDgz,의료법인동일의료재단수영나라요양병원,100,물리치료사,14
10,2101,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDIjJDgz,의료법인동일의료재단수영나라요양병원,110,작업치료사,6
11,2102,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNjEjJDEjJDAjJDgz,라파요양병원,100,물리치료사,2
12,2103,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNjEjJDEjJDAjJDgz,라파요양병원,200,사회복지사,2
13,2104,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,달맞이요양병원,71,약사,1
14,2105,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,달맞이요양병원,100,물리치료사,1
15,2106,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,달맞이요양병원,200,사회복지사,1
