,암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
1786,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQ5IyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,(의)대선의료재단으뜸요양병원,28,요양병원,310000,경기,311102,안산상록구,본오동,15537,"경기도 안산시 상록구 용신로 352, (본오동, 목화웨딩홀)",031-363-5200,,20060310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8611506,37.3015419
1787,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNjEjJDEjJDAjJDgz,(의)밀성학원의료재단 성모요양병원,28,요양병원,380000,경남,380100,김해시,삼정동,50934,"경상남도 김해시 김해대로 2479-1, (삼정동)",055-320-2080,,20100727,6,0,0,0,3,0,0,0,0,3,0,0,0,0,128.8980324,35.2281381
1788,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNTEjJDEjJDIjJDgz,(의)수의료재단 서청솔요양병원,28,요양병원,380000,경남,380100,김해시,흥동,50963,"경상남도 김해시 금관대로1084번길 15, (흥동)",055-310-5500,,20190207,7,1,0,0,4,0,0,0,0,1,0,0,1,0,128.8507902,35.2240003
1789,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,(의)영님의료재단 개금중앙요양병원,28,요양병원,210000,부산,210004,부산진구,개금동,47268,"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",051-582-7001,http://www.개금중앙요양병원.kr/,20100816,6,0,0,0,3,1,0,0,0,1,0,0,1,0,129.0247268,35.153754
1790,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,(의)피터의료재단새소망요양병원,28,요양병원,210000,부산,210100,부산기장군,기장읍,46079,"부산광역시 기장군 기장읍 기장해안로 552, (기장읍)",051-722-4848,,20050317,4,0,0,0,2,0,0,0,0,2,0,0,0,0,129.226905,35.2228262
1791,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQxMyQzNjE0ODEjODEjJDEjJDIjJDgz,(의)현당의료재단 늘봄요양병원,28,요양병원,310000,경기,312002,용인수지구,상현동,16864,"경기도 용인시 수지구 포은대로59번길 17, 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",031-659-7800,,20180425,5,0,0,0,4,0,0,0,0,0,0,0,1,0,127.0658441,37.3010717
1792,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,(의)환명의료재단 경상남도립김해노인전문병원,28,요양병원,380000,경남,380100,김해시,삼계동,50880,"경상남도 김해시 김해대로 1814-39, (삼계동)",055-330-2000,http://gimhaenoin.co.kr/,20050712,6,0,0,0,4,0,0,0,0,2,0,0,0,0,128.8610034,35.2616213
1793,JDQ4MTYyMiM2MSMkMSMkNiMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNjEjJDEjJDQjJDgz,(학교법인 경암학원)봉정요양병원,28,요양병원,350000,전북,350100,군산시,개정동,54068,"전북특별자치도 군산시 쌍천로 82-3, (개정동)",063-450-3939,http://www.silvernursing.co.kr/,20040924,3,0,0,0,2,0,0,0,0,1,0,0,0,0,126.7591357,35.9711595
1794,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNDEjJDEjJDQjJDgz,365강서수요양병원,28,요양병원,110000,서울,110003,강서구,방화동,7516,"서울특별시 강서구 양천로 35, 1~6층 (방화동, 강서성심병원)",02-2663-0075,,20160919,4,0,0,0,3,0,0,0,0,1,0,0,0,0,126.8077064,37.5729765
1795,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,BB요양병원,28,요양병원,260000,울산,260004,울산북구,양정동,44257,"울산광역시 북구 염포로 353, (양정동)",052-716-1020,,20161111,4,0,0,0,2,0,0,0,0,2,0,0,0,0,129.3780269,35.5593556
1796,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,BH대학효요양병원,28,요양병원,210000,부산,210006,부산서구,토성동3가,49246,"부산광역시 서구 구덕로 164-7, (토성동3가)",051-254-5200,http://bhgh.co.kr,20120509,3,0,0,0,2,0,0,0,0,1,0,0,0,0,129.020361,35.0996073
1797,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,가나안요양병원,28,요양병원,210000,부산,210014,부산수영구,광안동,48261,"부산광역시 수영구 수영로 563-1, 지하1~10층 (광안동)",051-752-8000,,20190520,5,0,0,0,3,0,0,0,0,2,0,0,0,0,129.1124247,35.1561769
